PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
1	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
2	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
3	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
4	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
5	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
6	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
7	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
8	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
9	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
10	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
11	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
12	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
13	-0.039270	4.326202	-6.551080	0.000000	-4.605170	-226.346477
14	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
15	-3.959610	-388.527037	-6.551080	0.000000	-4.605170	-226.346477
16	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
17	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
18	-0.061855	1.686769	-5.703782	0.000000	-4.605170	-286.213687
19	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
20	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
21	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
22	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
23	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
24	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
25	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
26	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
27	-0.892968	-99.502650	-5.703782	0.000000	-4.605170	-286.213687
28	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
29	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
30	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
31	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
32	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
33	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
34	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
35	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
36	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
37	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
38	-0.014700	2.727525	-6.907755	0.000000	0.000000	-23.025850
39	-0.168215	-35.659603	-6.907755	0.000000	0.000000	-23.025850
40	-5.703782	-578.135657	-7.549609	0.000000	-4.605170	-314.250172
41	0.011279	2.154219	-7.549609	0.000000	-4.605170	-314.250172
42	0.318764	0.626861	-7.549609	0.000000	-4.605170	-314.250172
