hhno pno day tour half tseg tsvid opurp dpurp oadtyp dadtyp opcl otaz dpcl dtaz mode pathtype dorp deptm arrtm endacttm travtime travcost travdist trexpfac
4000024 1 1 1 1 1 3 0 1 1 2 22664 982 23154 197 3 0 1 830 835 1710 6.634860 -1.000000 1.172378 47.062368
4000024 1 1 1 2 1 4 1 0 2 1 23154 197 22664 982 3 0 1 1710 1720 400 6.635982 -1.000000 1.172378 47.062368
4000024 1 1 2 1 1 1 0 9 1 4 22664 982 22505 215 3 0 1 530 540 645 8.526747 -1.000000 2.021028 47.062368
4000024 1 1 2 2 1 2 9 0 4 1 22505 215 22664 982 3 0 1 645 655 830 8.583036 -1.000000 2.021028 47.062368
4000024 2 1 1 1 1 1 0 1 1 2 22664 982 20341 2341 3 0 1 830 850 1700 23.371086 -1.000000 15.382412 47.062368
4000024 2 1 1 2 1 2 1 0 2 1 20341 2341 22664 982 3 0 1 1700 1730 400 27.329235 -1.000000 15.381629 47.062368
4000100 1 1 1 1 1 1 0 7 1 4 17438 2464 19673 2398 3 0 1 1040 1100 1140 17.160362 -1.000000 7.878134 108.541892
4000100 1 1 1 2 1 2 7 5 4 4 19673 2398 19731 2387 3 0 1 1140 1148 1201 6.921517 -1.000000 2.515209 108.541892
4000100 1 1 1 2 2 3 5 4 4 4 19731 2387 19874 2526 3 0 1 1201 1210 1247 10.430124 -1.000000 5.441193 108.541892
4000100 1 1 1 2 3 4 4 0 4 1 19874 2526 17438 2464 3 0 1 1247 1259 1700 14.484576 -1.000000 6.327214 108.541892
4000100 1 1 2 1 1 5 0 8 1 4 17438 2464 17223 2454 5 0 1 1700 1712 1815 11.129001 -1.000000 4.669605 108.541892
4000100 1 1 2 2 1 6 8 0 4 1 17223 2454 17438 2464 5 0 1 1815 1824 400 10.672801 -1.000000 4.669606 108.541892
4000100 2 1 1 1 1 1 0 3 1 4 17438 2464 17438 2464 5 0 1 825 829 833 3.685215 -1.000000 1.954415 108.541892
4000100 2 1 1 2 1 2 3 0 4 1 17438 2464 17438 2464 3 0 1 833 837 1131 3.685215 -1.000000 1.954415 108.541892
4000100 2 1 2 1 1 5 0 3 1 4 17438 2464 17438 2464 4 0 1 1520 1523 1540 3.685215 -1.000000 1.954415 108.541892
4000100 2 1 2 2 1 6 3 0 4 1 17438 2464 17438 2464 5 0 1 1540 1544 1940 3.685215 -1.000000 1.954415 108.541892
4000100 2 1 3 1 1 3 0 5 1 4 17438 2464 17354 2452 4 0 1 1131 1135 1210 5.424481 -1.000000 1.735537 108.541892
4000100 2 1 3 2 1 4 5 0 4 1 17354 2452 17438 2464 4 0 1 1210 1215 1520 5.422118 -1.000000 1.735537 108.541892
4000100 2 1 4 1 1 7 0 7 1 4 17438 2464 19687 2511 3 0 1 1940 2010 2245 16.822008 -1.000000 7.664437 108.541892
4000100 2 1 4 2 1 8 7 0 4 1 19687 2511 17438 2464 3 0 1 2245 2312 400 15.916397 -1.000000 7.664435 108.541892
4000100 3 1 1 1 1 1 0 2 1 4 17438 2464 17438 2464 5 0 2 825 829 1540 3.685215 -1.000000 1.954415 108.541892
4000100 3 1 1 2 1 2 2 0 4 1 17438 2464 17438 2464 5 0 2 1540 1544 1700 3.685215 -1.000000 1.954415 108.541892
4000100 3 1 2 1 1 3 0 8 1 4 17438 2464 17223 2454 5 0 2 1700 1712 1815 11.129001 -1.000000 4.669605 108.541892
4000100 3 1 2 2 1 4 8 0 4 1 17223 2454 17438 2464 5 0 2 1815 1824 400 10.672801 -1.000000 4.669606 108.541892
4000100 4 1 1 1 1 1 0 2 1 4 17438 2464 17438 2464 5 0 2 825 829 1540 3.685215 -1.000000 1.954415 108.541892
4000100 4 1 1 2 1 2 2 0 4 1 17438 2464 17438 2464 5 0 2 1540 1544 1700 3.685215 -1.000000 1.954415 108.541892
4000100 4 1 2 1 1 3 0 8 1 4 17438 2464 17223 2454 5 0 2 1700 1712 1815 11.129001 -1.000000 4.669605 108.541892
4000100 4 1 2 2 1 4 8 0 4 1 17223 2454 17438 2464 5 0 2 1815 1824 400 10.672801 -1.000000 4.669606 108.541892
4000100 5 1 1 1 1 1 0 5 1 4 17438 2464 17354 2452 4 0 2 1131 1135 1210 5.424481 -1.000000 1.735537 108.541892
4000100 5 1 1 2 1 2 5 0 4 1 17354 2452 17438 2464 4 0 2 1210 1215 400 5.422118 -1.000000 1.735537 108.541892
4000138 1 1 1 1 1 1 0 4 1 4 17219 2484 19663 2403 3 0 1 820 830 945 9.967976 -1.000000 4.142210 39.778653
4000138 1 1 1 2 1 2 4 5 4 4 19663 2403 20268 2397 3 0 1 945 1040 1115 4.069467 -1.000000 0.565330 39.778653
4000138 1 1 1 2 2 3 5 0 4 1 20268 2397 17219 2484 3 0 1 1115 1130 400 10.191881 -1.000000 4.592348 39.778653
4000154 1 1 1 1 1 1 0 9 1 4 28653 1128 23123 678 3 0 1 800 820 1000 10.555365 -1.000000 3.550223 79.971202
4000154 1 1 1 1 2 2 9 1 4 2 23123 678 23342 694 3 0 1 1000 1020 1800 15.877573 -1.000000 7.498667 79.971202
4000154 1 1 1 2 1 3 1 0 2 1 23342 694 28653 1128 3 0 1 1800 1830 400 22.276306 -1.000000 10.430573 79.971202
4000154 2 1 1 1 1 1 0 9 1 4 28653 1128 23123 678 3 0 1 800 820 1000 10.555365 -1.000000 3.550223 79.971202
4000154 2 1 1 1 2 2 9 1 4 2 23123 678 22660 226 3 0 1 1000 1010 1830 7.617867 -1.000000 1.701095 79.971202
4000154 2 1 1 2 1 3 1 0 2 1 22660 226 28653 1128 3 0 1 1830 1845 400 13.870281 -1.000000 4.626875 79.971202
4000196 1 1 1 1 1 5 0 3 1 4 6912 1586 10580 1585 4 0 1 1450 1500 1505 5.319588 -1.000000 1.909924 184.125331
4000196 1 1 1 2 1 6 3 6 4 4 10580 1585 6920 1587 4 0 1 1505 1510 1513 5.251884 -1.000000 1.942599 184.125331
4000196 1 1 1 2 2 7 6 0 4 1 6920 1587 6912 1586 4 0 1 1513 1518 1700 4.390802 -1.000000 1.257786 184.125331
4000196 1 1 2 1 1 1 0 4 1 4 6912 1586 10580 1585 5 0 1 740 750 1230 5.319588 -1.000000 1.909924 184.125331
4000196 1 1 2 2 1 2 4 7 4 4 10580 1585 11015 1584 3 0 1 1230 1237 1400 5.009383 -1.000000 1.504451 184.125331
4000196 1 1 2 2 2 3 7 5 4 4 11015 1584 10584 1585 3 0 1 1400 1410 1430 5.009400 -1.000000 1.504451 184.125331
4000196 1 1 2 2 3 4 5 0 4 1 10584 1585 6912 1586 3 0 1 1430 1445 1450 5.334115 -1.000000 1.909924 184.125331
4000196 1 1 3 1 1 8 0 7 1 4 6912 1586 11014 1584 4 0 1 1700 1710 1900 7.207534 -1.000000 3.199253 184.125331
4000196 1 1 3 2 1 9 7 0 4 1 11014 1584 6912 1586 4 0 1 1900 1910 400 7.254911 -1.000000 3.199253 184.125331
4000196 2 1 1 1 1 1 0 4 1 4 6912 1586 6917 1587 3 0 1 1000 1010 1025 4.390793 -1.000000 1.257786 184.125331
4000196 2 1 1 2 1 2 4 0 4 1 6917 1587 6912 1586 3 0 1 1025 1035 1200 4.390802 -1.000000 1.257786 184.125331
4000196 2 1 2 1 1 3 0 8 1 4 6912 1586 3142 2665 4 0 3 1200 1305 2000 45.683350 -1.000000 25.849957 184.125331
4000196 2 1 2 2 1 4 8 0 4 1 3142 2665 6912 1586 4 0 3 2000 2104 400 45.414764 -1.000000 25.849953 184.125331
4000196 3 1 1 1 1 1 0 2 1 4 6912 1586 10580 1585 5 0 2 740 750 1130 5.319588 -1.000000 1.909924 184.125331
4000196 3 1 1 2 1 2 2 6 4 4 10580 1585 11160 1558 5 0 2 1130 1150 1310 12.323431 -1.000000 7.166495 184.125331
4000196 3 1 1 2 2 3 6 0 4 1 11160 1558 6912 1586 5 0 2 1310 1330 1450 13.600789 -1.000000 8.482088 184.125331
4000196 3 1 2 1 1 6 0 7 1 4 6912 1586 11014 1584 4 0 2 1700 1710 1900 7.207534 -1.000000 3.199253 184.125331
4000196 3 1 2 2 1 7 7 0 4 1 11014 1584 6912 1586 4 0 2 1900 1910 400 7.254911 -1.000000 3.199253 184.125331
4000196 3 1 3 1 1 4 0 8 1 4 6912 1586 10580 1585 4 0 2 1450 1500 1620 5.319588 -1.000000 1.909924 184.125331
4000196 3 1 3 2 1 5 8 0 4 1 10580 1585 6912 1586 3 0 1 1620 1630 1700 5.334115 -1.000000 1.909924 184.125331
4000196 4 1 1 1 1 1 0 2 1 3 6912 1586 10580 1585 5 0 2 740 750 1505 5.319588 -1.000000 1.909924 184.125331
4000196 4 1 1 2 1 2 2 6 3 4 10580 1585 6920 1587 4 0 2 1505 1510 1513 5.251884 -1.000000 1.942599 184.125331
4000196 4 1 1 2 2 3 6 0 4 1 6920 1587 6912 1586 4 0 2 1513 1518 400 4.390802 -1.000000 1.257786 184.125331
4000207 1 1 1 1 1 1 0 1 1 2 23226 1000 31739 1911 3 0 1 920 1030 1400 48.421566 -1.000000 34.506340 131.144915
4000207 1 1 1 2 1 4 1 3 2 4 31739 1911 22648 209 3 0 1 1550 1645 1650 56.707924 -1.000000 33.334991 131.144915
4000207 1 1 1 2 2 5 3 0 4 1 22648 209 23226 1000 5 0 1 1650 1710 1800 10.618849 -1.000000 3.088918 131.144915
