Fri Mar  1 17:00:39 2024,  ******************* STARTED Nashville ABM 2019 - Version 19.1.0 ******************* 
Fri Mar  1 17:00:39 2024, 1.1 Initialization.rsc, Initialization
Fri Mar  1 17:06:38 2024, 1.1 Initialization.rsc, Area Type
Fri Mar  1 17:09:10 2024, 1.1 Initialization.rsc, Capacity and FF Speed
Fri Mar  1 17:40:25 2024, 2.1 HwySkimming.rsc,   ****** Highway Skimming ****** 
Fri Mar  1 17:40:25 2024, Build highway network
Fri Mar  1 17:40:33 2024, Shortest path using length
Fri Mar  1 17:40:36 2024, Terminal time
Fri Mar  1 17:40:44 2024, Build HOV skims
Fri Mar  1 17:41:27 2024, Build SOV skims
Fri Mar  1 17:42:25 2024, 2.1 HwySkimming.rsc, Finished Highway Skimming
Fri Mar  1 17:42:26 2024, 2.2 TransitSkimming.rsc,   ****** Transit Skimming ****** 
Fri Mar  1 17:42:26 2024, Set transit paramters
Fri Mar  1 17:42:26 2024, Prepare inputs
Fri Mar  1 17:44:30 2024, Build drive connectors
Fri Mar  1 17:47:32 2024, Build transit paths
Fri Mar  1 17:47:32 2024, Build transit paths, Build transit paths Loop - AM - Walk - Local -1 of 40
Fri Mar  1 17:47:32 2024, Build transit paths, Build tranist network
Fri Mar  1 17:47:52 2024, Build transit paths, Tranist network settings
Fri Mar  1 17:47:54 2024, Build transit paths, Transit assignment PF
Fri Mar  1 17:48:10 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 17:48:10 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 17:48:12 2024, Build transit paths, Transit skim PF
Fri Mar  1 17:49:39 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 17:49:40 2024, Build transit paths, Build transit paths Loop - AM - Walk - Brt -2 of 40
Fri Mar  1 17:49:40 2024, Build transit paths, Build tranist network
Fri Mar  1 17:50:00 2024, Build transit paths, Tranist network settings
Fri Mar  1 17:50:01 2024, Build transit paths, Transit assignment PF
Fri Mar  1 17:50:18 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 17:50:18 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 17:50:20 2024, Build transit paths, Transit skim PF
Fri Mar  1 17:51:49 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 17:51:50 2024, Build transit paths, Build transit paths Loop - AM - Walk - ExpBus -3 of 40
Fri Mar  1 17:51:50 2024, Build transit paths, Build tranist network
Fri Mar  1 17:52:10 2024, Build transit paths, Tranist network settings
Fri Mar  1 17:52:12 2024, Build transit paths, Transit assignment PF
Fri Mar  1 17:52:31 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 17:52:31 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 17:52:32 2024, Build transit paths, Transit skim PF
Fri Mar  1 17:54:07 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 17:54:08 2024, Build transit paths, Build transit paths Loop - AM - Walk - UrbRail -4 of 40
Fri Mar  1 17:54:08 2024, Build transit paths, Build tranist network
Fri Mar  1 17:54:28 2024, Build transit paths, Tranist network settings
Fri Mar  1 17:54:30 2024, Build transit paths, Transit assignment PF
Fri Mar  1 17:54:48 2024, Build transit paths, Fill stop layer with base ivtt
Fri Mar  1 17:54:49 2024, Build transit paths, Update transit links with correct ivtt
Fri Mar  1 17:54:50 2024, Build transit paths, Transit skim PF
Fri Mar  1 17:56:27 2024, Build transit paths, Calculate boardings in transfers field
Fri Mar  1 17:56:27 2024, Build transit paths, Build transit paths Loop - AM - Walk - ComRail -5 of 40
Fri Mar  1 17:56:27 2024, Build transit paths, Build tranist network
Fri Mar  1 17:56:50 2024, Build transit paths, Tranist network settings
Fri Mar  1 17:56:51 2024, Build transit paths, Transit assignment PF
Fri Mar  1 17:57:11 2024, Build transit paths, Fill stop layer with base ivtt
